id,difficulty,enabled,text,answer,choice1,choice2,choice3,choice4,hint
decimal-1,easy,true,มีน้ำ 5.5 ลิตร เติมเพิ่ม 2.3 ลิตร มีน้ำทั้งหมดกี่ลิตร,7.8,7.8,7.3,8.3,3.2,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-2,easy,true,มีน้ำ 6.2 ลิตร เติมเพิ่ม 2.9 ลิตร มีน้ำทั้งหมดกี่ลิตร,9.1,9.1,8.6,9.6,3.3,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-3,easy,true,มีน้ำ 6.9 ลิตร เติมเพิ่ม 3.5 ลิตร มีน้ำทั้งหมดกี่ลิตร,10.4,10.4,9.9,10.9,3.4,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-4,easy,true,มีน้ำ 7.6 ลิตร เติมเพิ่ม 4.1 ลิตร มีน้ำทั้งหมดกี่ลิตร,11.7,11.7,11.2,12.2,3.5,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-5,easy,true,มีน้ำ 8.3 ลิตร เติมเพิ่ม 4.7 ลิตร มีน้ำทั้งหมดกี่ลิตร,13,13,12.5,13.5,3.6,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-6,easy,true,มีน้ำ 9 ลิตร เติมเพิ่ม 5.3 ลิตร มีน้ำทั้งหมดกี่ลิตร,14.3,14.3,13.8,14.8,3.7,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-7,easy,true,มีน้ำ 9.7 ลิตร เติมเพิ่ม 2.3 ลิตร มีน้ำทั้งหมดกี่ลิตร,12,12,11.5,12.5,7.4,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-8,easy,true,มีน้ำ 10.4 ลิตร เติมเพิ่ม 2.9 ลิตร มีน้ำทั้งหมดกี่ลิตร,13.3,13.3,12.8,13.8,7.5,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-9,easy,true,มีน้ำ 11.1 ลิตร เติมเพิ่ม 3.5 ลิตร มีน้ำทั้งหมดกี่ลิตร,14.6,14.6,14.1,15.1,7.6,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-10,easy,true,มีน้ำ 11.8 ลิตร เติมเพิ่ม 4.1 ลิตร มีน้ำทั้งหมดกี่ลิตร,15.9,15.9,15.4,16.4,7.7,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
