id,difficulty,enabled,text,answer,choice1,choice2,choice3,choice4,hint
counting-1,easy,true,มีลูกบอล 6 ลูก ได้เพิ่มอีก 4 ลูก มีทั้งหมดกี่ลูก,10,10,9,11,12,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-2,easy,true,มีลูกบอล 8 ลูก ได้เพิ่มอีก 5 ลูก มีทั้งหมดกี่ลูก,13,13,12,14,15,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-3,easy,true,มีลูกบอล 10 ลูก ได้เพิ่มอีก 6 ลูก มีทั้งหมดกี่ลูก,16,16,15,17,18,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-4,easy,true,มีลูกบอล 12 ลูก ได้เพิ่มอีก 7 ลูก มีทั้งหมดกี่ลูก,19,19,18,20,21,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-5,easy,true,มีลูกบอล 14 ลูก ได้เพิ่มอีก 8 ลูก มีทั้งหมดกี่ลูก,22,22,21,23,24,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-6,easy,true,มีลูกบอล 16 ลูก ได้เพิ่มอีก 9 ลูก มีทั้งหมดกี่ลูก,25,25,24,26,27,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-7,easy,true,มีลูกบอล 18 ลูก ได้เพิ่มอีก 10 ลูก มีทั้งหมดกี่ลูก,28,28,27,29,30,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-8,easy,true,มีลูกบอล 20 ลูก ได้เพิ่มอีก 4 ลูก มีทั้งหมดกี่ลูก,24,24,23,25,26,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-9,easy,true,มีลูกบอล 22 ลูก ได้เพิ่มอีก 5 ลูก มีทั้งหมดกี่ลูก,27,27,26,28,29,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-10,easy,true,มีลูกบอล 24 ลูก ได้เพิ่มอีก 6 ลูก มีทั้งหมดกี่ลูก,30,30,29,31,32,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-11,easy,true,มีลูกบอล 26 ลูก ได้เพิ่มอีก 7 ลูก มีทั้งหมดกี่ลูก,33,33,32,34,35,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-12,easy,true,มีลูกบอล 28 ลูก ได้เพิ่มอีก 8 ลูก มีทั้งหมดกี่ลูก,36,36,35,37,38,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-13,easy,true,มีลูกบอล 30 ลูก ได้เพิ่มอีก 9 ลูก มีทั้งหมดกี่ลูก,39,39,38,40,41,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-14,easy,true,มีลูกบอล 32 ลูก ได้เพิ่มอีก 10 ลูก มีทั้งหมดกี่ลูก,42,42,41,43,44,นำจำนวนลูกบอลทั้งสองจำนวนมาบวกกัน
counting-15,medium,true,ห้องสมุดมีหนังสือ 102 เล่ม ยืมออกไป 18 เล่ม เหลือหนังสือกี่เล่ม,84,84,82,87,120,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-16,medium,true,ห้องสมุดมีหนังสือ 105 เล่ม ยืมออกไป 19 เล่ม เหลือหนังสือกี่เล่ม,86,86,84,89,124,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
