id,difficulty,enabled,text,answer,choice1,choice2,choice3,choice4,hint
percent-1,easy,true,10% ของ 200 เท่ากับเท่าไร,20,20,180,10,30,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-2,easy,true,20% ของ 300 เท่ากับเท่าไร,60,60,240,20,70,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-3,easy,true,25% ของ 400 เท่ากับเท่าไร,100,100,300,25,110,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-4,easy,true,30% ของ 500 เท่ากับเท่าไร,150,150,350,30,160,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-5,easy,true,40% ของ 600 เท่ากับเท่าไร,240,240,360,40,250,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-6,easy,true,50% ของ 700 เท่ากับเท่าไร,350,350,50,360,351,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-7,easy,true,10% ของ 800 เท่ากับเท่าไร,80,80,720,10,90,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-8,easy,true,20% ของ 900 เท่ากับเท่าไร,180,180,720,20,190,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-9,easy,true,25% ของ 1000 เท่ากับเท่าไร,250,250,750,25,260,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-10,easy,true,30% ของ 1100 เท่ากับเท่าไร,330,330,770,30,340,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-11,easy,true,40% ของ 1200 เท่ากับเท่าไร,480,480,720,40,490,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-12,easy,true,50% ของ 1300 เท่ากับเท่าไร,650,650,50,660,651,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-13,easy,true,10% ของ 1400 เท่ากับเท่าไร,140,140,1260,10,150,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-14,easy,true,20% ของ 1500 เท่ากับเท่าไร,300,300,1200,20,310,นำจำนวนคูณด้วยอัตราร้อยละ แล้วหารด้วย 100
percent-15,medium,true,สินค้าราคา 200 บาท ลดราคา 25% ต้องจ่ายกี่บาท,150,150,50,200,170,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-16,medium,true,สินค้าราคา 300 บาท ลดราคา 30% ต้องจ่ายกี่บาท,210,210,90,300,230,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-17,medium,true,สินค้าราคา 400 บาท ลดราคา 40% ต้องจ่ายกี่บาท,240,240,160,400,260,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-18,medium,true,สินค้าราคา 500 บาท ลดราคา 50% ต้องจ่ายกี่บาท,250,250,500,270,251,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-19,medium,true,สินค้าราคา 600 บาท ลดราคา 10% ต้องจ่ายกี่บาท,540,540,60,600,560,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-20,medium,true,สินค้าราคา 700 บาท ลดราคา 20% ต้องจ่ายกี่บาท,560,560,140,700,580,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-21,medium,true,สินค้าราคา 800 บาท ลดราคา 25% ต้องจ่ายกี่บาท,600,600,200,800,620,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-22,medium,true,สินค้าราคา 900 บาท ลดราคา 30% ต้องจ่ายกี่บาท,630,630,270,900,650,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-23,medium,true,สินค้าราคา 1000 บาท ลดราคา 40% ต้องจ่ายกี่บาท,600,600,400,1000,620,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-24,medium,true,สินค้าราคา 1100 บาท ลดราคา 50% ต้องจ่ายกี่บาท,550,550,1100,570,551,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-25,medium,true,สินค้าราคา 1200 บาท ลดราคา 10% ต้องจ่ายกี่บาท,1080,1080,120,1200,1100,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-26,medium,true,สินค้าราคา 1300 บาท ลดราคา 20% ต้องจ่ายกี่บาท,1040,1040,260,1300,1060,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-27,medium,true,สินค้าราคา 1400 บาท ลดราคา 25% ต้องจ่ายกี่บาท,1050,1050,350,1400,1070,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
